ts,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
1756130683.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756130683.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756130683.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756130684.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756130684.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756130685.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756130685.687,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0
1756130686.188,0.0,0.0,0.0,0.0,64.2,0.0,0.0,0.0
1756130686.688,0.0,0.0,0.0,0.0,64.3,0.0,0.0,0.0
1756130687.189,0.0,0.0,0.0,0.0,64.3,0.0,0.0,0.0
1756130687.690,0.0,0.0,0.0,0.0,69.7,0.0,0.0,0.0
1756130688.190,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130688.690,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130689.191,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130689.692,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130690.192,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130690.693,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130691.194,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130691.694,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130692.195,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130692.695,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130693.196,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130693.696,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130694.197,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130694.697,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130695.198,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
1756130695.699,0.0,0.0,0.0,0.0,94.7,0.0,0.0,0.0
