ts,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,pps,gbps
1756763982.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1756763982.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000000
1756763983.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000000
1756763983.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000000
1756763984.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000000
1756763984.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000000
1756763985.450,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2046773.170,0.000000
1756763985.951,0.0,0.0,0.0,0.0,71.5,0.0,0.0,0.0,11966772.216,0.000000
1756763986.451,0.0,0.0,0.0,0.0,71.6,0.0,0.0,0.0,11966950.853,0.000000
1756763986.952,0.0,0.0,0.0,0.0,71.6,0.0,0.0,0.0,11965840.865,0.000000
1756763987.452,0.0,0.0,0.0,0.0,76.7,0.0,0.0,0.0,13696209.438,0.000000
1756763987.953,0.0,0.0,75.7,0.0,75.6,0.0,0.0,0.0,23942351.823,0.000000
1756763988.453,0.0,0.0,75.8,0.0,75.7,0.0,0.0,0.0,23942372.163,0.000000
1756763988.954,0.0,0.0,76.0,0.0,75.8,0.0,0.0,0.0,23943681.508,0.000000
1756763989.455,0.0,0.0,75.8,0.0,75.7,0.0,0.0,0.0,23943740.435,0.000000
1756763989.955,0.0,0.0,75.9,0.0,75.6,0.0,0.0,0.0,23943879.442,0.000000
1756763990.456,0.0,0.0,76.0,0.0,75.9,0.0,0.0,0.0,23942487.538,0.000000
1756763990.956,0.0,0.0,75.8,0.0,75.8,0.0,0.0,0.0,23943417.405,0.000000
1756763991.457,0.0,0.0,75.9,0.0,75.7,0.0,0.0,0.0,23943808.989,0.000000
1756763991.957,0.0,0.0,75.8,0.0,75.7,0.0,0.0,0.0,23943879.271,0.000000
1756763992.458,0.0,0.0,75.9,0.0,75.6,0.0,0.0,0.0,23939504.803,0.000000
1756763992.959,0.0,0.0,75.4,0.0,75.7,0.0,0.0,0.0,23943390.742,0.000000
1756763993.459,0.0,0.0,75.7,0.0,75.6,0.0,0.0,0.0,23942440.683,0.000000
1756763993.960,0.0,0.0,75.8,0.0,75.8,0.0,0.0,0.0,23940901.442,0.000000
1756763994.460,0.0,0.0,75.6,0.0,75.5,0.0,0.0,0.0,23943763.713,0.000000
1756763994.961,0.0,0.0,75.7,0.0,75.5,0.0,0.0,0.0,23943925.533,0.000000
1756763995.461,0.0,0.0,75.4,0.0,66.0,0.0,0.0,0.0,22190553.751,0.000000
1756763995.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1756763996.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1756763996.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1756763997.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1756763997.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1756763998.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1756763998.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1756763999.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
